time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-10T13:37:25.529Z,42.301,-71.0103,7.269,1.3,ml,9,150,0.124,0.47,us,us7000myqm,2024-10-09T00:57:15.492Z,"4 km SE of South Boston, Massachusetts",earthquake,1.81,3.032,0.128,8,reviewed,us,us
2024-06-12T18:04:54.153Z,41.6922,-72.0026,5,1.3,ml,8,112,0.29,0.54,us,us7000mrzw,2024-08-23T18:03:36.040Z,"6 km WNW of Plainfield Village, Connecticut",earthquake,1.9,1.99,0.091,16,reviewed,us,us
2024-03-28T12:20:23.737Z,41.4285,-71.9828,5,1.8,ml,12,172,0.054,0.24,us,us7000m8j3,2024-06-01T21:55:45.040Z,"2 km ESE of Ledyard, Connecticut",earthquake,1.86,1.797,0.091,16,reviewed,us,us
2024-03-28T12:12:04.009Z,41.3909,-71.9619,2.03,1.6,ml,11,201,0.065,0.3,us,us7000m8n3,2024-06-01T21:55:45.040Z,"0 km SSW of Old Mystic, Connecticut",earthquake,1.85,4.581,0.097,14,reviewed,us,us
2024-03-28T12:03:55.459Z,41.3758,-71.965,5.32,2,mb_lg,16,193,0.067,0.31,us,us7000m8iu,2024-06-01T21:55:45.040Z,"1 km S of Old Mystic, Connecticut",earthquake,2.45,1.963,0.361,3,reviewed,us,us
2024-03-06T13:24:49.496Z,41.5491,-72.4815,5,1.7,ml,9,166,0.358,0.26,us,us7000m3tl,2024-05-15T17:35:04.040Z,"3 km SSE of East Hampton, Connecticut",earthquake,1.93,1.991,0.105,12,reviewed,us,us
2023-12-26T18:24:34.799Z,42.7324,-69.9644,9.578,2.3,ml,18,177,0.976,0.51,us,us6000lzwr,2024-03-02T21:39:30.040Z,"54 km E of Rockport, Massachusetts",earthquake,2.94,7.736,0.064,32,reviewed,us,us
2022-11-05T18:53:50.234Z,41.3298,-70.131,10.891,2.1,mb_lg,27,217,0.805,0.53,us,us7000imra,2024-01-27T16:42:48.306Z,"5 km NNW of Nantucket, Massachusetts",earthquake,2.49,8.684,0.295,3,reviewed,us,us
2022-09-24T17:54:23.189Z,42.4754,-71.5301,5.322,1.8,ml,19,96,0.037,0.41,us,us7000iavt,2022-12-21T00:28:50.094Z,"1 km S of Boxborough, Massachusetts",earthquake,1.21,2.57,0.148,6,reviewed,us,us
2022-06-12T00:52:53.728Z,41.6394,-71.2702,7.22,1.6,ml,13,201,0.437,0.23,us,us7000hgu2,2022-09-12T02:29:38.088Z,"4 km S of Bristol, Rhode Island",earthquake,2.6,6,0.105,12,reviewed,us,us
2022-05-15T06:40:00.684Z,41.2633,-71.3799,1.95,2,mb_lg,16,228,0.521,0.26,us,us6000hl9f,2022-07-24T02:38:45.040Z,"18 km NE of New Shoreham, Rhode Island",earthquake,2.3,5.5,0.18,8,reviewed,us,us
2022-05-15T02:15:53.542Z,41.2776,-71.3865,6.06,2.2,mb_lg,15,226,0.512,0.3,us,us6000hl8b,2023-10-16T02:49:00.854Z,"18 km SSE of Narragansett Pier, Rhode Island",earthquake,3,6.1,0.136,14,reviewed,us,us
2022-05-14T08:42:28.660Z,41.2699,-71.3791,5.02,2.1,mb_lg,17,227,0.52,0.41,us,us6000hl2t,2022-07-24T02:38:25.040Z,"18 km NE of New Shoreham, Rhode Island",earthquake,2,5.6,0.193,7,reviewed,us,us
2022-03-04T22:50:31.185Z,42.5807,-72.3889,2.53,2.2,mb_lg,,55,0.252,0.3,us,us6000h27e,2022-05-07T21:32:54.040Z,"2 km SSE of Erving, Massachusetts",earthquake,1.3,4,0.255,4,reviewed,us,us
2022-01-01T14:02:07.064Z,42.796,-70.5864,10,2,mb_lg,,144,0.631,0.35,us,us7000g8c0,2022-03-12T22:18:58.040Z,"15 km N of Rockport, Massachusetts",earthquake,2.1,2,0.255,4,reviewed,us,us
2021-08-18T19:19:56.002Z,42.5259,-70.92,5,1.3,ml,,208,0.266,0.36,us,us6000f82q,2021-10-29T14:46:28.040Z,"0 km ESE of Peabody, Massachusetts",earthquake,2.5,1.9,0.115,10,reviewed,us,us
2021-08-04T23:45:30.452Z,42.535,-70.9204,5,1.2,ml,,208,0.272,0.58,us,us6000f2b7,2021-10-14T01:07:25.040Z,"1 km NE of Peabody, Massachusetts",earthquake,2.1,1.9,0.115,10,reviewed,us,us
2021-07-25T04:41:41.896Z,42.528,-70.9543,5,1.4,ml,,162,0.307,0.42,us,us6000ez20,2021-10-03T05:22:04.040Z,"2 km N of South Peabody, Massachusetts",earthquake,1.4,1.9,0.128,8,reviewed,us,us
2021-03-05T06:14:13.552Z,41.7355,-72.7692,1.76,1.9,ml,,92,0.635,0.21,us,us7000dfw3,2024-04-05T16:09:37.568Z,"3 km SW of West Hartford, Connecticut",earthquake,1.7,5.6,0.085,18,reviewed,us,us
2020-11-22T05:48:44.297Z,41.5406,-70.9933,5.13,2,ml,,174,0.261,0.21,us,us6000cre7,2021-12-05T18:00:00.815Z,"9 km SSW of Bliss Corner, Massachusetts",earthquake,1.8,5.1,0.069,28,reviewed,us,us
2020-11-08T14:10:06.958Z,41.5208,-70.9546,10,3.6,mwr,,162,0.234,0.72,us,us7000cc4d,2024-04-06T20:51:42.989Z,"10 km S of Bliss Corner, Massachusetts",earthquake,2,1.9,0.05,38,reviewed,us,us
2020-07-24T01:06:45.182Z,41.4177,-70.3255,5,2.1,ml,,269,0.281,0.45,us,us6000b3vy,2020-10-03T17:32:21.040Z,"16 km ENE of Edgartown, Massachusetts",earthquake,3.1,2,0.053,46,reviewed,us,us
2020-07-21T16:10:00.217Z,41.723,-72.6965,2.32,1.6,ml,,94,0.582,0.24,us,us7000asub,2020-09-26T16:58:45.040Z,"3 km NE of Newington, Connecticut",earthquake,1.1,4.4,0.077,22,reviewed,us,us
2020-01-02T00:41:40.071Z,41.548,-71.6038,5,1.9,ml,,158,0.362,0.22,us,us70006u33,2020-03-21T17:13:22.040Z,"6 km WSW of Exeter, Rhode Island",earthquake,1.6,1.9,0.091,16,reviewed,us,us
2019-12-03T22:29:25.217Z,41.9709,-70.7019,5,2.1,ml,,188,0.108,0.3,us,us60006ltt,2020-11-08T14:23:15.052Z,"1 km W of North Plymouth, Massachusetts",earthquake,1.6,2,0.097,14,reviewed,us,us
2019-12-01T23:46:51.621Z,41.4659,-71.2851,5,1.8,ml,,181,0.489,0.31,us,us70006f5x,2020-02-19T18:58:30.040Z,"3 km SE of Newport, Rhode Island",earthquake,1.6,1.8,0.115,10,reviewed,us,us
2019-11-24T07:52:16.973Z,42.7766,-71.2345,3.63,1.2,ml,,169,0.36,0.42,us,us70006ckx,2020-02-14T22:02:19.040Z,"3 km WSW of Salem, New Hampshire",earthquake,1.6,5,0.128,8,reviewed,us,us
2019-11-24T02:45:15.174Z,42.7892,-71.2257,1.66,1.8,ml,,132,0.374,0.35,us,us70006ccp,2020-02-14T22:02:16.040Z,"2 km W of Salem, New Hampshire",earthquake,0.9,5.1,0.081,20,reviewed,us,us
2019-10-26T03:42:26.367Z,42.621,-70.7246,4.55,1.3,ml,,183,0.5,0.23,us,us700061hm,2020-01-11T21:26:41.040Z,"4 km ESE of Essex, Massachusetts",earthquake,1.8,6.5,0.115,10,reviewed,us,us
2019-08-21T05:31:01.315Z,41.7371,-70.6587,6.24,1.7,ml,,176,0.175,0.25,us,us700056rn,2019-11-08T22:13:38.040Z,"0 km S of Onset, Massachusetts",earthquake,2.6,4.9,0.105,12,reviewed,us,us
2019-07-27T11:50:12.303Z,41.4947,-72.6444,7.03,1.9,ml,,127,0.433,0.28,us,us60004wgw,2020-06-28T18:15:09.313Z,"3 km ENE of Durham, Connecticut",earthquake,1.8,5.5,0.094,15,reviewed,us,us
2019-07-01T08:40:50.895Z,42.4707,-70.3956,5,1.5,ml,,217,0.627,0.25,us,us70004gm2,2019-09-14T16:08:36.040Z,"27 km SE of Gloucester, Massachusetts",earthquake,2.1,1.9,0.128,8,reviewed,us,us
